date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2011-02-11 00:00:00+00:00,23.25,23.75,22.94,23.25,634500,1.55,1.5833333333,1.5293333333,1.55,9517500
2011-02-14 00:00:00+00:00,23.64,24.14,23.05,23.08,1283100,1.5386666667,1.6093333333,1.5366666667,1.576,19246500
2011-02-15 00:00:00+00:00,23.01,23.17,22.56,22.84,953700,1.5226666667,1.5446666667,1.504,1.534,14305500
2011-02-16 00:00:00+00:00,23.1,24.97,23.0701,24.73,4115100,1.6486666667,1.6646666667,1.5380066667,1.54,61726500
2011-02-17 00:00:00+00:00,24.63,25.49,23.55,23.6,2618400,1.5733333333,1.6993333333,1.57,1.642,39276000
2011-02-18 00:00:00+00:00,23.33,23.49,22.96,23.18,2370700,1.5453333333,1.566,1.5306666667,1.5553333333,35560500
2011-02-22 00:00:00+00:00,22.88,23.0,21.78,21.87,2064600,1.458,1.5333333333,1.452,1.5253333333,30969000
2011-02-23 00:00:00+00:00,22.18,22.5,21.11,21.83,1605600,1.4553333333,1.5,1.4073333333,1.4786666667,24084000
2011-02-24 00:00:00+00:00,21.78,22.58,21.5,22.53,1055300,1.502,1.5053333333,1.4333333333,1.452,15829500
2011-02-25 00:00:00+00:00,22.81,23.85,22.69,23.61,1346300,1.574,1.59,1.5126666667,1.5206666667,20194500
2011-02-28 00:00:00+00:00,23.74,24.1,23.5,23.89,1051200,1.5926666667,1.6066666667,1.5666666667,1.5826666667,15768000
2011-03-01 00:00:00+00:00,24.05,24.32,23.7,23.94,1106400,1.596,1.6213333333,1.58,1.6033333333,16596000
2011-03-02 00:00:00+00:00,23.82,24.28,23.725,24.02,663300,1.6013333333,1.6186666667,1.5816666667,1.588,9949500
2011-03-03 00:00:00+00:00,24.48,24.79,24.06,24.36,640200,1.624,1.6526666667,1.604,1.632,9603000
2011-03-04 00:00:00+00:00,24.48,24.99,23.78,24.95,1580100,1.6633333333,1.666,1.5853333333,1.632,23701500
2011-03-07 00:00:00+00:00,24.93,25.4,24.7,24.94,2033600,1.6626666667,1.6933333333,1.6466666667,1.662,30504000
2011-03-08 00:00:00+00:00,24.6,24.96,24.0,24.66,1399900,1.644,1.664,1.6,1.64,20998500
2011-03-09 00:00:00+00:00,24.66,24.99,24.27,24.72,924800,1.648,1.666,1.618,1.644,13872000
2011-03-10 00:00:00+00:00,24.44,24.49,23.73,24.01,1017000,1.6006666667,1.6326666667,1.582,1.6293333333,15255000
2011-03-11 00:00:00+00:00,23.85,24.25,23.53,24.07,930800,1.6046666667,1.6166666667,1.5686666667,1.59,13962000
2011-03-14 00:00:00+00:00,23.82,24.0,23.2,23.25,1166000,1.55,1.6,1.5466666667,1.588,17490000
2011-03-15 00:00:00+00:00,22.2,22.96,21.8,22.95,1318800,1.53,1.5306666667,1.4533333333,1.48,19782000
2011-03-16 00:00:00+00:00,22.86,23.25,22.69,22.82,1169700,1.5213333333,1.55,1.5126666667,1.524,17545500
2011-03-17 00:00:00+00:00,23.24,23.43,22.64,22.81,922600,1.5206666667,1.562,1.5093333333,1.5493333333,13839000
2011-03-18 00:00:00+00:00,23.19,23.19,22.51,22.96,687900,1.5306666667,1.546,1.5006666667,1.546,10318500
2011-03-21 00:00:00+00:00,23.05,23.05,22.54,22.73,411700,1.5153333333,1.5366666667,1.5026666667,1.5366666667,6175500
2011-03-22 00:00:00+00:00,22.73,22.86,22.0,22.19,582900,1.4793333333,1.524,1.4666666667,1.5153333333,8743500
2011-03-23 00:00:00+00:00,22.11,22.27,21.77,22.21,422800,1.4806666667,1.4846666667,1.4513333333,1.474,6342000
2011-03-24 00:00:00+00:00,22.14,22.38,21.98,22.33,462200,1.4886666667,1.492,1.4653333333,1.476,6933000
2011-03-25 00:00:00+00:00,22.43,23.0,22.4,22.75,568000,1.5166666667,1.5333333333,1.4933333333,1.4953333333,8520000
2011-03-28 00:00:00+00:00,22.7,23.5388,22.55,23.25,1058100,1.55,1.5692533333,1.5033333333,1.5133333333,15871500
2011-03-29 00:00:00+00:00,23.3,24.0,23.21,23.92,755400,1.5946666667,1.6,1.5473333333,1.5533333333,11331000
2011-03-30 00:00:00+00:00,24.11,24.49,23.01,23.71,1223300,1.5806666667,1.6326666667,1.534,1.6073333333,18349500
2011-03-31 00:00:00+00:00,26.55,28.71,26.5,27.75,11517800,1.85,1.914,1.7666666667,1.77,172767000
2011-04-01 00:00:00+00:00,27.45,28.18,26.57,26.66,2864800,1.7773333333,1.8786666667,1.7713333333,1.83,42972000
2011-04-04 00:00:00+00:00,26.83,27.0,25.23,25.83,2609300,1.722,1.8,1.682,1.7886666667,39139500
2011-04-05 00:00:00+00:00,25.9,27.0,25.69,26.7,3180900,1.78,1.8,1.7126666667,1.7266666667,47713500
2011-04-06 00:00:00+00:00,26.99,27.01,25.8,26.49,1288300,1.766,1.8006666667,1.72,1.7993333333,19324500
2011-04-07 00:00:00+00:00,26.85,27.94,26.4501,27.24,2810300,1.816,1.8626666667,1.76334,1.79,42154500
2011-04-08 00:00:00+00:00,27.58,27.6004,26.36,26.49,1946400,1.766,1.8400266667,1.7573333333,1.8386666667,29196000
2011-04-11 00:00:00+00:00,26.47,26.53,25.02,25.27,1369400,1.6846666667,1.7686666667,1.668,1.7646666667,20541000
2011-04-12 00:00:00+00:00,25.08,25.21,24.3,24.65,1357400,1.6433333333,1.6806666667,1.62,1.672,20361000
2011-04-13 00:00:00+00:00,25.13,25.69,24.81,24.93,1211500,1.662,1.7126666667,1.654,1.6753333333,18172500
2011-04-14 00:00:00+00:00,24.87,25.28,24.2,25.14,983400,1.676,1.6853333333,1.6133333333,1.658,14751000
2011-04-15 00:00:00+00:00,25.65,26.18,25.41,25.58,943500,1.7053333333,1.7453333333,1.694,1.71,14152500
2011-04-18 00:00:00+00:00,25.13,25.62,24.36,25.03,1033900,1.6686666667,1.708,1.624,1.6753333333,15508500
2011-04-19 00:00:00+00:00,25.26,25.26,24.65,25.16,548700,1.6773333333,1.684,1.6433333333,1.684,8230500
2011-04-20 00:00:00+00:00,25.7,26.09,25.3,25.75,837200,1.7166666667,1.7393333333,1.6866666667,1.7133333333,12558000
2011-04-21 00:00:00+00:00,25.85,26.98,25.5901,26.74,1386100,1.7826666667,1.7986666667,1.7060066667,1.7233333333,20791500
2011-04-25 00:00:00+00:00,26.7,26.73,25.97,26.39,800900,1.7593333333,1.782,1.7313333333,1.78,12013500
2011-04-26 00:00:00+00:00,26.66,27.25,26.31,26.93,1400000,1.7953333333,1.8166666667,1.754,1.7773333333,21000000
2011-04-27 00:00:00+00:00,26.93,27.36,26.63,27.08,996900,1.8053333333,1.824,1.7753333333,1.7953333333,14953500
2011-04-28 00:00:00+00:00,27.07,27.69,26.72,27.66,1600000,1.844,1.846,1.7813333333,1.8046666667,24000000
2011-04-29 00:00:00+00:00,27.69,27.87,27.42,27.6,726000,1.84,1.858,1.828,1.846,10890000
2011-05-02 00:00:00+00:00,27.6,27.8,27.06,27.45,784600,1.83,1.8533333333,1.804,1.84,11769000
2011-05-03 00:00:00+00:00,27.38,27.39,26.5,26.87,913900,1.7913333333,1.826,1.7666666667,1.8253333333,13708500
2011-05-04 00:00:00+00:00,26.78,27.0,25.75,26.69,1044500,1.7793333333,1.8,1.7166666667,1.7853333333,15667500
2011-05-05 00:00:00+00:00,27.2,27.44,26.1701,26.44,1218500,1.7626666667,1.8293333333,1.7446733333,1.8133333333,18277500
2011-05-06 00:00:00+00:00,26.9,27.7,26.62,27.12,981700,1.808,1.8466666667,1.7746666667,1.7933333333,14725500
2011-05-09 00:00:00+00:00,27.0,28.0,26.85,27.91,916400,1.8606666667,1.8666666667,1.79,1.8,13746000
2011-05-10 00:00:00+00:00,28.24,28.95,27.91,28.33,1535300,1.8886666667,1.93,1.8606666667,1.8826666667,23029500
2011-05-11 00:00:00+00:00,28.2,28.2985,26.92,27.07,962500,1.8046666667,1.8865666667,1.7946666667,1.88,14437500
2011-05-12 00:00:00+00:00,27.07,27.74,26.65,27.67,628000,1.8446666667,1.8493333333,1.7766666667,1.8046666667,9420000
2011-05-13 00:00:00+00:00,28.0,28.1891,27.3,27.55,661500,1.8366666667,1.8792733333,1.82,1.8666666667,9922500
2011-05-16 00:00:00+00:00,27.99,27.99,26.55,26.6,755700,1.7733333333,1.866,1.77,1.866,11335500
2011-05-17 00:00:00+00:00,27.0,27.0,25.72,25.96,1234200,1.7306666667,1.8,1.7146666667,1.8,18513000
2011-05-18 00:00:00+00:00,26.1,26.47,25.52,26.35,729500,1.7566666667,1.7646666667,1.7013333333,1.74,10942500
2011-05-19 00:00:00+00:00,27.03,28.44,26.6,28.2,2655100,1.88,1.896,1.7733333333,1.802,39826500
2011-05-20 00:00:00+00:00,28.26,28.28,27.35,27.97,842500,1.8646666667,1.8853333333,1.8233333333,1.884,12637500
2011-05-23 00:00:00+00:00,27.62,27.62,26.62,26.82,863600,1.788,1.8413333333,1.7746666667,1.8413333333,12954000
2011-05-24 00:00:00+00:00,27.02,27.5,26.6,26.72,613700,1.7813333333,1.8333333333,1.7733333333,1.8013333333,9205500
2011-05-25 00:00:00+00:00,26.9,29.01,26.17,28.98,4693100,1.932,1.934,1.7446666667,1.7933333333,70396500
2011-05-26 00:00:00+00:00,28.82,29.76,28.1,29.48,3336900,1.9653333333,1.984,1.8733333333,1.9213333333,50053500
2011-05-27 00:00:00+00:00,29.54,29.67,28.82,29.55,1687100,1.97,1.978,1.9213333333,1.9693333333,25306500
2011-05-31 00:00:00+00:00,29.69,30.28,29.55,30.14,3290500,2.0093333333,2.0186666667,1.97,1.9793333333,49357500
2011-06-01 00:00:00+00:00,30.0,30.1,28.38,28.517,1529900,1.9011333333,2.0066666667,1.892,2.0,22948500
2011-06-02 00:00:00+00:00,28.52,29.32,28.51,28.76,986300,1.9173333333,1.9546666667,1.9006666667,1.9013333333,14794500
2011-06-03 00:00:00+00:00,29.95,31.5,29.5,30.13,6209200,2.0086666667,2.1,1.9666666667,1.9966666667,93138000
2011-06-06 00:00:00+00:00,29.1,30.13,28.26,28.7,2331100,1.9133333333,2.0086666667,1.884,1.94,34966500
2011-06-07 00:00:00+00:00,28.94,29.39,28.26,28.37,1222100,1.8913333333,1.9593333333,1.884,1.9293333333,18331500
